ID,status,superkingdom,phylum,class,order,family,genus,species,strain
TARA_SOC_Bin_00015-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00016-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00017-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00018-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00019-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00020-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00021-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00022-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00023-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00024-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00025-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00026-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00027-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00028-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00029-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00030-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00031-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00032-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00033-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00034-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00035-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00036-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00037-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00038-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00039-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00040-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00041-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00042-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00043-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00044-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00045-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00046-contigs.fa,found,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,unassigned,Flavobacteriaceae bacterium ASP10-09a,
TARA_SOC_Bin_00047-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00048-contigs.fa,found,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter,Candidatus Pelagibacter sp. IMCC9063,
TARA_SOC_Bin_00049-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00050-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00051-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00052-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00053-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00054-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00055-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00056-contigs.fa,nomatch,,,,,,,,
TARA_SOC_Bin_00057-contigs.fa,nomatch,,,,,,,,
